ano_trimestre,mes_central,ano_encuesta,mes_encuesta,region,provincia,r_p_c,estrato,tipo,conglomerado,id_identificacion,hogar,idrph,nro_linea,edad,tramo_edad,sexo,parentesco,curso,nivel,termino_nivel,estudia_actual,cine,est_conyugal,proveedor,orig1,orig2,orig3,nacionalidad,mig1,mig2_cod,mig3_cod,mig4,mig5_cod,mig6_cod,a1,a2,a3,a4,a5,a6,a6_otro,a7,a8,b1,b2,b3,b4,b5,b6,b7a_1,b7a_2,b7a_3,b7b_1,b7b_2,b7b_3,b7b_4,b8,b9,b10,b11_proxy,b12,b13_rev4cl_caenes,i1,i2,i3,i3_v,i4,i5,i6,i7,b14_rev4cl_caenes,b15_1,b15_2,b16,b16_otro,b17_mes,b17_ano,b18_codigo,b18_region,b18_varias,ocup_honorarios,plataformas_digitales,pd_especifique,b19,dependencia_segunda,sda_pd,sda_pd_especifique,turno,turno_d,turno_de,turno_h,turno_t,c2_1_1,c2_1_2,c2_1_3,c2_2_1,c2_2_2,c2_2_3,c3_1,c3_2,c3_3,turno_cont_d,turno_cont_de,turno_cont_h,turno_cont_t,c4,c5,c6,c7,c8,c9,c9_otro,adicionales_h,adicionales_d,adicionales_t,c10,c11,c12,habituales,efectivas,e2,e3_1,e3_2,e3_3,e3_4,e3_5,e3_6,e3_7,e3_8,e3_9,e3_10,e3_11,e3_12,e3_total,e4,e5,e5_dia,e5_sem,e5_mes,e5_ano,e6_mes,e6_ano,e7,e9,e9_otro,e10,deseo_trabajar,e11,e12,e12_otro,e13,e21_mes,e21_ano,e21_tramo,e22,e23,e23_otro,e24,e24_otro,activ,obe,tpi,id,ftp,cae_general,cae_especifico,categoria_ocupacion,ocup_form,r_p_rev4cl_caenes,sector,fact_anual
2023,2,2023,1,6,61,6101,6100112,1,14663,137843,1,316974941,2,37,5.0,2,5,4,4,1,2,5,5,0,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,,1.0,1.0,,,1.0,12.0,2022.0,1.0,3.0,,,,,3.0,,,0.0,1.0,8,25,0,,,,"72,5384352343815"
2023,8,2023,8,16,163,16301,16300110,1,22200,168452,1,17697339289,2,36,5.0,2,4,4,4,1,2,5,3,0,2,,,152,1,,,2,13101.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,1.0,2.0,8.0,,1.0,88.0,2012.0,4.0,2.0,,,3.0,,3.0,,,0.0,0.0,9,21,0,,,,"48,4926061452695"
2023,5,2023,6,7,72,7201,7200110,1,25984,115207,1,1758094055,1,73,12.0,1,1,4,4,1,2,5,1,1,2,,,152,1,,,1,,,1.0,,1.0,,,,,,,7.0,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,,4.0,1983.0,7201.0,7.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,9.0,6.0,54.0,,,,,,,,,,,,2.0,,2.0,,,,,,,2.0,,,54.0,54.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,2,1.0,3.0,1.0,"27,1606240624099"
2023,11,2023,10,5,55,5501,5500111,1,26638,127861,1,5057616091,1,57,9.0,2,1,8,3,1,2,4,1,1,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,1.0,20.0,2.0,10.0,2023.0,8.0,2023.0,3.0,,,,,1.0,,,1.0,3.0,2022.0,1.0,3.0,,,,,2.0,,,,,4,8,0,,,,"37,4069858215033"
2023,8,2023,8,1,11,1101,1100112,1,28992,159537,1,6429338902,2,45,7.0,2,2,2,7,1,2,6,1,0,2,,,152,1,,,1,,,1.0,,1.0,,,,,,,3.0,2.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,88.0,0.0,,,,,6.0,4.0,,7.0,,8.0,2021.0,1101.0,1.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,8.0,5.0,40.0,,,,8.0,5.0,40.0,,,,,,2.0,,2.0,,,,,,,2.0,,,40.0,40.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,3,1.0,6.0,1.0,"40,3891030403709"
2023,2,2023,1,6,61,6108,6100113,1,33441,147049,1,13614200178,5,61,10.0,2,8,5,9,1,2,7,3,0,2,,,862,3,,32.0,3,,862.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,19.0,,,1.0,1.0,,,1.0,88.0,2016.0,4.0,2.0,,,10.0,EMIGRAR,3.0,,,0.0,1.0,8,26,0,,,,"61,8982806425881"
2023,5,2023,4,7,74,7404,7400210,1,25050,103239,1,1814968146,1,67,11.0,1,1,8,3,1,2,4,4,1,1,1.0,,152,1,,,1,,,1.0,,1.0,,,,,,,7.0,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,2.0,,4.0,,3.0,1.0,1.0,5.0,,88.0,1988.0,7404.0,7.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,5.0,5.0,25.0,,,,,,,,,,,,2.0,,2.0,,,,,,,2.0,,,25.0,25.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,2,2.0,3.0,2.0,"34,5187320768562"
2023,8,2023,9,9,91,9101,9100112,1,32997,144919,1,14756562714,2,22,2.0,1,7,2,9,2,1,7,3,0,2,,,152,1,,,1,,,1.0,,1.0,,,,,,,5.0,2.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,0.0,,,,,9.0,3.0,,1.0,,1.0,2023.0,9101.0,9.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,8.0,3.0,24.0,,,,8.0,3.0,24.0,,,,,,2.0,,2.0,,,,,,,2.0,,,24.0,24.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,3,1.0,9.0,1.0,"54,9657383318218"
2023,11,2023,10,13,132,13201,13200112,1,19315,155831,1,15366819606,1,60,10.0,2,1,3,3,2,2,3,5,1,2,,,152,1,,,2,6301.0,,1.0,,1.0,,,,,,,9.0,2.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,20.0,,,,,88.0,2014.0,13132.0,13.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,888.0,2.0,12.0,,,,888.0,2.0,12.0,,,,,,2.0,,2.0,,,,,,,2.0,,,12.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,5,1.0,20.0,3.0,"89,331663146975"
2023,2,2023,1,9,91,9101,9100112,1,26553,128885,1,6335363054,2,29,3.0,2,4,5,9,1,2,7,3,0,1,1.0,,152,1,,,1,,,2.0,2.0,,,1.0,8.0,,2.0,1.0,7.0,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,2.0,,4.0,,3.0,1.0,1.0,5.0,,12.0,2017.0,9101.0,9.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,5.0,3.0,15.0,,,,,,,,,,,,2.0,,1.0,15.0,4.0,,4.0,2.0,8.0,1.0,1.0,5.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,3,6,2,2.0,3.0,2.0,"46,6486506182475"
