"RBD","SLEP","HORAS_CONTRATO","HORAS_DIRECT","HORAS_TEC_PED","HORAS_AULA","HORAS_DENTRO_ESTAB","HORAS_FUERA_ESTAB","ANO_SERVICIO_SISTEMA","N_ASIS","N_HOMBRES","N_MUJERES","N_PROF","N_PARA","N_AUX","JORN_PROF","JORN_PARA","JORN_AUX","TOT_JORN","PREFERENTE_ALU","BEN_SEP","MAT_HOM_TOT","MAT_MUJ_TOT","MAT_TOTAL","NALU_4B_RBD","PROM_LECT4B_RBD","PROM_MATE4B_RBD","NALU_2M_RBD","PROM_LECT2M_RBD","PROM_MATE2M_RBD","PORC_PRIORITARIO_ALU","cluster"
1,5,32.4028340080972,1.84008097165992,1.18825910931174,27.3724696356275,1.97773279352227,0.0242914979757085,21.2834008097166,0.138157894736842,0.0625,0.0756578947368421,0.0328947368421053,0.0789473684210526,0.0263157894736842,1.24342105263158,3.49671052631579,1.17434210526316,5.91447368421053,649,3397,3333,2370,5703,0,0,0,94,195,201,61.98,"1"
2,5,33.8962264150943,2.90566037735849,11.3018867924528,18.2641509433962,1.42452830188679,0,15.0660377358491,0.127777777777778,0.0111111111111111,0.116666666666667,0.0388888888888889,0.0722222222222222,0.0166666666666667,0.677777777777778,3.17777777777778,0.75,4.60555555555556,453,927,711,675,1386,0,0,0,0,0,0,34.2,"1"
3,5,39.151832460733,1.38219895287958,1.40314136125654,35.9267015706806,0.43979057591623,0,21.565445026178,0,0,0,0,0,0,0,0,0,0,14,0,3369,422,3791,0,0,0,0,0,0,7.81,"1"
4,5,39.2071129707113,2.94560669456067,2.63179916317992,24.071129707113,9.3744769874477,0.184100418410042,23.6401673640167,0.118181818181818,0.0363636363636364,0.0818181818181818,0.0393939393939394,0.0393939393939394,0.0393939393939394,1.59393939393939,1.73939393939394,1.71212121212121,5.04545454545455,2453,7278,3924,4483,8407,0,0,0,257,280,279,57.39,"1"
5,5,37.7097457627119,2.79237288135593,1.53813559322034,31.146186440678,2.23305084745763,0,19.4957627118644,0.154855643044619,0.0393700787401575,0.115485564304462,0.0288713910761155,0.10761154855643,0.0183727034120735,0.803149606299213,4.02099737532808,0.821522309711286,5.64566929133858,2180,5074,3769,3282,7051,18.5,289.5,279.5,109,267,265.5,48.87,"1"
7,5,39.5457227138643,1.35693215339233,6.15486725663717,30.6194690265487,1.41445427728614,0,15.9911504424779,0.108829568788501,0.0431211498973306,0.0657084188911704,0.0349075975359343,0.0492813141683778,0.0246406570841889,1.1211498973306,2.18069815195072,1.1006160164271,4.40246406570842,1618,8197,5302,3709,9011,0,0,0,224,210,202,73.01,"1"
8,5,35.8325123152709,3.44827586206897,1.23645320197044,26.1724137931034,4.97536945812808,0,19.5024630541872,0.141711229946524,0.0347593582887701,0.106951871657754,0.0213903743315508,0.0989304812834225,0.0213903743315508,0.620320855614973,3.81550802139037,0.959893048128342,5.39572192513369,1085,4056,2986,2268,5254,30.5,238.5,235.5,81.5,223,225,56.55,"1"
9,5,39.9840255591054,1.75718849840256,0.492012779552716,37.6102236421725,0.124600638977636,0,14.9600638977636,0.122562674094708,0.020891364902507,0.101671309192201,0.032033426183844,0.0779944289693593,0.0125348189415042,1.0891364902507,3.18105849582173,0.559888579387187,4.83008356545961,3866,9293,6110,5626,11736,138.5,268,251.5,0,0,0,46.24,"1"
10,5,37.8571428571429,4.28571428571429,4.33766233766234,27.4545454545455,1.77922077922078,0,19.7857142857143,0.118556701030928,0.0309278350515464,0.0876288659793814,0.0257731958762887,0.0618556701030928,0.0309278350515464,0.628865979381443,2.24742268041237,1.38144329896907,4.25773195876289,193,1043,14,1433,1447,23,255.5,228,0,0,0,58.74,"1"
11,5,38.4267782426778,4.60251046025105,2.17991631799163,31.5355648535565,0.108786610878661,0,15.8493723849372,0.158273381294964,0.0359712230215827,0.122302158273381,0.0431654676258993,0.0899280575539568,0.0251798561151079,1.3705035971223,3.67985611510791,1.12230215827338,6.1726618705036,353,2533,1608,1202,2810,20,262.5,245,0,0,0,77.58,"1"
12,5,36.3733333333333,2.73777777777778,3.11111111111111,21.6711111111111,8.85333333333333,0,16.5377777777778,0.130630630630631,0.018018018018018,0.112612612612613,0.0405405405405405,0.0630630630630631,0.027027027027027,1.19369369369369,2.36486486486486,1.20720720720721,4.76576576576577,603,2223,1418,1180,2598,28,282,264,0,0,0,62.36,"1"
13,5,37.2660098522167,2.60098522167488,4.11822660098522,30.3300492610837,0.216748768472906,0,18.8128078817734,0.128919860627178,0.0209059233449477,0.10801393728223,0.0278745644599303,0.0731707317073171,0.0278745644599303,0.961672473867596,2.82229965156794,1.24738675958188,5.03135888501742,315,1895,1269,901,2170,24.5,250.5,237.5,0,0,0,72.81,"1"
14,5,34.6009852216749,4.33497536945813,1.49261083743842,23.3793103448276,5.39408866995074,0,16.4137931034483,0.128342245989305,0.0267379679144385,0.101604278074866,0.0374331550802139,0.0748663101604278,0.0160427807486631,1.14973262032086,2.82887700534759,0.711229946524064,4.68983957219251,258,1854,1501,1113,2614,20,233,224,0,0,0,61.06,"1"
15,5,35.5454545454545,2.65909090909091,0.777777777777778,29.5757575757576,2.53282828282828,0,17.0075757575758,0.14327485380117,0.0467836257309941,0.0964912280701754,0.0350877192982456,0.0964912280701754,0.0116959064327485,1.18713450292398,4.01461988304094,0.526315789473684,5.7280701754386,1029,2634,1399,1752,3151,0,0,0,34,217.5,202.5,50.94,"1"
16,5,36.8224299065421,2.67289719626168,5.4392523364486,21.0700934579439,7.64018691588785,0,17.5981308411215,0.1198738170347,0.0252365930599369,0.0946372239747634,0.028391167192429,0.0757097791798107,0.0157728706624606,1.09148264984227,3.08832807570978,0.700315457413249,4.8801261829653,336,1705,1517,807,2324,27,231,215.5,0,0,0,58.91,"1"
17,5,38.6041666666667,2.64166666666667,2.42916666666667,29.05,4.48333333333333,0,17.4541666666667,0.125,0.0357142857142857,0.0892857142857143,0.0401785714285714,0.0669642857142857,0.0178571428571429,1.375,2.63392857142857,0.803571428571429,4.8125,523,2650,1686,1525,3211,24.5,258,268,0,0,0,66.24,"1"
18,5,36.751968503937,2.74015748031496,3.79133858267717,28.5984251968504,1.62204724409449,0,17.5787401574803,0.136942675159236,0.0382165605095541,0.0987261146496815,0.0222929936305732,0.0955414012738854,0.0191082802547771,0.74203821656051,3.86942675159236,0.85031847133758,5.46178343949045,384,2304,1503,1133,2636,44.5,245.5,222.5,0,0,0,72.84,"1"
19,5,36.7586206896552,3.68472906403941,1.97536945812808,25.6453201970443,5.45320197044335,0,17.6354679802956,0.140794223826715,0.0252707581227437,0.115523465703971,0.0397111913357401,0.0794223826714801,0.0216606498194946,1.45487364620939,2.96028880866426,0.963898916967509,5.37906137184116,314,2128,1347,1129,2476,35,229.5,227,0,0,0,73.26,"1"
20,5,36.8513119533528,2.6734693877551,1.21865889212828,22.3411078717201,10.6180758017493,0,17.0524781341108,0.139841688654354,0.029023746701847,0.110817941952507,0.0316622691292876,0.0976253298153034,0.0105540897097625,1.17414248021108,3.63324538258575,0.472295514511873,5.27968337730871,470,3082,2121,1569,3690,40.5,256,256.5,0,0,0,70.79,"1"
22,5,38.8798449612403,2.04651162790698,0.767441860465116,36.0658914728682,0,0,18.8759689922481,0.132635253054101,0.0244328097731239,0.108202443280977,0.031413612565445,0.0890052356020942,0.012216404886562,1.1239092495637,3.59511343804538,0.546247818499127,5.2652705061082,1644,6766,4057,3562,7619,79,242.5,230,0,0,0,67.23,"1"
