"AGNO_TOTAL","RBD","RURAL_RBD_MUESTRA","NOM_COM_RBD_MUESTRA","NOMBRE_SLEP_MUESTRA","ESTADO_ESTAB_MUESTRA","SLEP_MUESTRA","MAT_HOM_TOT","MAT_MUJ_TOT","MAT_TOTAL"
"2017",1,"0","ARICA               ","CHINCHORRO","1","5",451,351,802
"2018",1,"0","ARICA               ","CHINCHORRO","1","5",379,295,674
"2019",1,"0","ARICA               ","CHINCHORRO","1","5",375,291,666
"2020",1,"0","ARICA               ","CHINCHORRO","1","5",338,265,603
"2021",1,"0","ARICA               ","CHINCHORRO","1","5",401,263,664
"2022",1,"0","ARICA               ","CHINCHORRO","1","5",400,267,667
"2023",1,"0","ARICA               ","CHINCHORRO","1","5",473,314,787
"2024",1,"0","ARICA               ","CHINCHORRO","1","5",516,324,840
"2017",2,"0","ARICA               ","CHINCHORRO","1","5",108,92,200
"2018",2,"0","ARICA               ","CHINCHORRO","1","5",99,86,185
"2019",2,"0","ARICA               ","CHINCHORRO","1","5",106,105,211
"2020",2,"0","ARICA               ","CHINCHORRO","1","5",103,97,200
"2021",2,"0","ARICA               ","CHINCHORRO","1","5",81,89,170
"2022",2,"0","ARICA               ","CHINCHORRO","1","5",84,82,166
"2023",2,"0","ARICA               ","CHINCHORRO","1","5",70,63,133
"2024",2,"0","ARICA               ","CHINCHORRO","1","5",60,61,121
"2017",3,"1","ARICA               ","CHINCHORRO","1","5",373,131,504
"2018",3,"1","ARICA               ","CHINCHORRO","1","5",396,115,511
"2019",3,"1","ARICA               ","CHINCHORRO","1","5",334,78,412
"2020",3,"1","ARICA               ","CHINCHORRO","1","5",373,96,469
"2021",3,"1","ARICA               ","CHINCHORRO","1","5",469,1,470
"2022",3,"1","ARICA               ","CHINCHORRO","1","5",376,0,376
"2023",3,"1","ARICA               ","CHINCHORRO","1","5",461,0,461
"2024",3,"1","ARICA               ","CHINCHORRO","1","5",587,1,588
"2017",4,"0","ARICA               ","CHINCHORRO","1","5",506,581,1087
"2018",4,"0","ARICA               ","CHINCHORRO","1","5",471,540,1011
"2019",4,"0","ARICA               ","CHINCHORRO","1","5",450,527,977
"2020",4,"0","ARICA               ","CHINCHORRO","1","5",450,540,990
"2021",4,"0","ARICA               ","CHINCHORRO","1","5",443,531,974
"2022",4,"0","ARICA               ","CHINCHORRO","1","5",460,554,1014
"2023",4,"0","ARICA               ","CHINCHORRO","1","5",535,616,1151
"2024",4,"0","ARICA               ","CHINCHORRO","1","5",609,594,1203
"2017",5,"0","ARICA               ","CHINCHORRO","1","5",526,449,975
"2018",5,"0","ARICA               ","CHINCHORRO","1","5",519,471,990
"2019",5,"0","ARICA               ","CHINCHORRO","1","5",523,469,992
"2020",5,"0","ARICA               ","CHINCHORRO","1","5",479,413,892
"2021",5,"0","ARICA               ","CHINCHORRO","1","5",437,381,818
"2022",5,"0","ARICA               ","CHINCHORRO","1","5",416,355,771
"2023",5,"0","ARICA               ","CHINCHORRO","1","5",441,375,816
"2024",5,"0","ARICA               ","CHINCHORRO","1","5",428,369,797
"2017",7,"0","ARICA               ","CHINCHORRO","1","5",637,429,1066
"2018",7,"0","ARICA               ","CHINCHORRO","1","5",681,463,1144
"2019",7,"0","ARICA               ","CHINCHORRO","1","5",673,446,1119
"2020",7,"0","ARICA               ","CHINCHORRO","1","5",676,449,1125
"2021",7,"0","ARICA               ","CHINCHORRO","1","5",689,455,1144
"2022",7,"0","ARICA               ","CHINCHORRO","1","5",690,473,1163
"2023",7,"0","ARICA               ","CHINCHORRO","1","5",656,496,1152
"2024",7,"0","ARICA               ","CHINCHORRO","1","5",600,498,1098
"2017",8,"0","ARICA               ","CHINCHORRO","1","5",364,285,649
"2018",8,"0","ARICA               ","CHINCHORRO","1","5",358,292,650
"2019",8,"0","ARICA               ","CHINCHORRO","1","5",357,292,649
"2020",8,"0","ARICA               ","CHINCHORRO","1","5",344,280,624
"2021",8,"0","ARICA               ","CHINCHORRO","1","5",410,260,670
"2022",8,"0","ARICA               ","CHINCHORRO","1","5",417,284,701
"2023",8,"0","ARICA               ","CHINCHORRO","1","5",347,273,620
"2024",8,"0","ARICA               ","CHINCHORRO","1","5",389,302,691
"2017",9,"0","ARICA               ","CHINCHORRO","1","5",793,736,1529
"2018",9,"0","ARICA               ","CHINCHORRO","1","5",807,727,1534
